County,State,Population
Autauga,Alabama,55869
Baldwin,Alabama,223234
Barbour,Alabama,24686
Bibb,Alabama,22394
Blount,Alabama,57826
Bullock,Alabama,10101
Butler,Alabama,19448
Calhoun,Alabama,113605
Chambers,Alabama,33254
Cherokee,Alabama,26196
Chilton,Alabama,44428
Choctaw,Alabama,12589
Clarke,Alabama,23622
Clay,Alabama,13235
Cleburne,Alabama,14910
Coffee,Alabama,52342
Colbert,Alabama,55241
Conecuh,Alabama,12067
Coosa,Alabama,10663
Covington,Alabama,37049
Crenshaw,Alabama,13772
Cullman,Alabama,83768
Dale,Alabama,49172
Dallas,Alabama,37196
DeKalb,Alabama,71513
Elmore,Alabama,81209
Escambia,Alabama,36633
Etowah,Alabama,102268
Fayette,Alabama,16302
Franklin,Alabama,31362
Geneva,Alabama,26271
Greene,Alabama,8111
Hale,Alabama,14651
Henry,Alabama,17205
Houston,Alabama,105882
Jackson,Alabama,51626
Jefferson,Alabama,658573
Lamar,Alabama,13805
Lauderdale,Alabama,92729
Lawrence,Alabama,32924
Lee,Alabama,164542
Limestone,Alabama,98915
Lowndes,Alabama,9726
Macon,Alabama,18068
Madison,Alabama,372909
Marengo,Alabama,18863
Marion,Alabama,29709
Marshall,Alabama,96774
Mobile,Alabama,413210
Monroe,Alabama,20733
Montgomery,Alabama,226486
Morgan,Alabama,119679
Perry,Alabama,8923
Pickens,Alabama,19930
Pike,Alabama,33114
Randolph,Alabama,22722
Russell,Alabama,57961
St. Clair,Alabama,89512
Shelby,Alabama,217702
Sumter,Alabama,12427
Talladega,Alabama,79978
Tallapoosa,Alabama,40367
Tuscaloosa,Alabama,209355
Walker,Alabama,63521
Washington,Alabama,16326
Wilcox,Alabama,10373
Winston,Alabama,23629
Aleutians East Borough[d],Alaska,3337
Aleutians West Census Area[e],Alaska,5634
"Anchorage, Municipality of[d][f]",Alaska,288000
Bethel Census Area[e],Alaska,18386
Bristol Bay Borough[d],Alaska,836
Chugach Census Area[e],Alaska,6734
Copper River Census Area[e],Alaska,2764
Denali Borough[d],Alaska,2097
Dillingham Census Area[e],Alaska,4916
Fairbanks North Star Borough[d],Alaska,96849
Haines Borough[d],Alaska,2530
Hoonah–Angoon Census Area[e],Alaska,2148
"Juneau, City and Borough of[d][g]",Alaska,31974
Kenai Peninsula Borough[d],Alaska,58708
Ketchikan Gateway Borough[d],Alaska,13901
Kodiak Island Borough[d],Alaska,12998
Kusilvak Census Area[e],Alaska,8314
Lake and Peninsula Borough[d],Alaska,1592
Matanuska-Susitna Borough[d],Alaska,108317
Nome Census Area[e],Alaska,10004
North Slope Borough[d],Alaska,9832
Northwest Arctic Borough[d],Alaska,7621
Petersburg Borough[d][h],Alaska,3266
Prince of Wales – Hyder Census Area[e],Alaska,6203
"Sitka, City and Borough of[d][i]",Alaska,8493
"Skagway, Municipality of[d]",Alaska,1183
Southeast Fairbanks Census Area[e],Alaska,6893
"Wrangell, City and Borough of[d]",Alaska,2502
"Yakutat, City and Borough of[d][j]",Alaska,579
Yukon–Koyukuk Census Area[e],Alaska,5230
Eastern District[12],American Samoa,23030
Manu'a District[12],American Samoa,1143
Rose Atoll (Rose Island)[12],American Samoa,0
Swains Island[12],American Samoa,17
Western District[12],American Samoa,31329
Apache,Arizona,71887
Cochise,Arizona,125922
Coconino,Arizona,143476
Gila,Arizona,54018
Graham,Arizona,38837
Greenlee,Arizona,9498
La Paz,Arizona,21108
Maricopa,Arizona,4485414
Mohave,Arizona,212181
Navajo,Arizona,110924
Pima,Arizona,1047279
Pinal,Arizona,462789
Santa Cruz,Arizona,46498
Yavapai,Arizona,235099
Yuma,Arizona,213787
Arkansas,Arkansas,17486
Ashley,Arkansas,19657
Baxter,Arkansas,41932
Benton,Arkansas,279141
Boone,Arkansas,37432
Bradley,Arkansas,10763
Calhoun,Arkansas,5189
Carroll,Arkansas,28380
Chicot,Arkansas,10118
Clark,Arkansas,22320
Clay,Arkansas,14551
Cleburne,Arkansas,24919
Cleveland,Arkansas,7956
Columbia,Arkansas,23457
